geo_value,time_value,percent_covid_tests_positive_smoothed,covid_admissions,raw_search,percent_covid_visits,fb_illness,new_cases,full_time_work_prop,percent_home
tx,2020-06-03,9.4889065,2.3312049999999997,8.33978871,0.235402,0.46720839999999997,1540,4.0929373573979,28.558794964417
va,2020-06-03,8.52713178,2.981773,22.52146689,0.273566,0.5930741,666,4.1357026896977,33.335993250087995
wi,2020-06-03,0.0,3.3089129999999995,7.96080979,0.196019,0.4307108,483,4.289286189878901,32.26151917697
al,2020-06-04,5.71428571,6.244347,43.34947896,0.195422,0.5113135,308,4.4197942458658,21.491830600797
ar,2020-06-04,4.26356589,1.9491,0.0,0.151367,0.8576520000000001,358,5.056946000618701,23.863529871642
ca,2020-06-04,13.84615385,2.1299080000000004,5.87227181,0.289423,0.3612982,2820,4.9304310924207,36.074492661048
ct,2020-06-04,2.47933884,5.72944,20.88412033,0.358552,0.35489109999999996,148,4.318458191805499,38.141661095375
fl,2020-06-04,5.35917902,2.066563,10.70070689,0.127154,0.39850559999999996,1419,4.4968560677399,30.958672773106
ga,2020-06-04,9.11539258,2.439057,3.69261758,0.204502,0.47419040000000007,965,4.293567445892299,27.454329608418
ks,2020-06-04,8.48484848,1.015275,0.0,0.09579700000000001,0.33143590000000006,75,4.571272229647799,26.232802113735005
ky,2020-06-04,4.20932878,2.1543330000000003,23.35149049,0.042907,0.41416309999999995,295,4.408578699802,25.580725754646
la,2020-06-04,5.95238095,0.450068,0.0,0.172379,0.5919865,429,5.094116207287301,24.360925092291
ma,2020-06-04,4.36802974,10.001691000000001,10.7957742,0.235692,0.3125153,382,4.3317964977222,39.908333487004995
md,2020-06-04,11.45374449,7.450036,18.59491673,0.356638,0.6706288,876,4.045287137663401,38.374014234853
mo,2020-06-04,13.00813008,1.4935889999999998,0.0,0.094,0.5739799,288,5.0585074315065,26.973226993297
nc,2020-06-04,5.04587156,3.459623,8.00103868,0.18019100000000002,0.4225358,1256,4.355842785806299,29.308261261971996
nj,2020-06-04,2.00668896,6.410883999999999,4.01804601,0.763451,0.39065409999999995,462,4.125815268506701,40.70569880017899
ny,2020-06-04,2.16763006,3.727225,9.961906599999999,0.566122,0.45192879999999996,1048,4.269097477995101,41.081520144273
ok,2020-06-04,2.46338216,1.1488479999999999,0.0,0.069729,0.6558626999999999,102,4.5471069981961,23.452185464375
or,2020-06-04,2.4691357999999997,0.20996700000000001,0.0,0.06955499999999999,0.2730126,75,4.2671092456,34.776321745796004
sd,2020-06-04,0.0,1.456544,0.0,0.210535,0.3698425,83,4.869913021986099,25.684600694943
tx,2020-06-04,9.6919234,2.262149,4.94298434,0.23590300000000003,0.5015304,1696,4.2864944467261,28.542320030494
va,2020-06-04,8.02919708,2.6743080000000004,0.0,0.260432,0.5630791,951,4.415838324308099,33.886037944250006
wi,2020-06-04,0.0,2.907331,12.07945788,0.177009,0.448927,492,4.889356556995299,30.480051047832003
al,2020-06-05,2.0,6.636626,0.0,0.191687,0.5484749,648,4.684474952385901,23.378398877305
ar,2020-06-05,3.7037037000000006,1.7741759999999998,0.0,0.14249900000000001,0.8419333000000001,226,3.7385353904110996,23.671401049752998
ca,2020-06-05,6.15384615,2.1265680000000002,5.07800164,0.307069,0.3711031,3589,4.2716818459645,35.068673572425
